bit_length, total_bits, random_multiplier, rhs_projection_ell
19,231,451534,97937541623333711865195392234867061372330954289244939295619609595920775845858
19,231,333329,23137162916912154572475434102397196539700295298129156604269221737247967359884
19,231,461006,85688341276993967033067785087359631973697819355127352998532198781274608800318
19,231,414709,107422837097457454285906361931717157804471501666888041070479212402311000733867
19,231,363014,29900369773260581326434726780989345645428588458385053668049807881139442081382
19,231,371066,42558145463011141841519128801859688080510755128500400246160636188291423530018
19,231,375475,74357584707177280431225810033597973712101960661629972511507993077468779721810
19,231,445821,7606581464064432753119044370219151826837714126299800100480874549453136403631
19,231,397291,24722689338317179347648284438301118181124880885647775250384796430794598884848
19,231,419235,57862155760331498515980129237081373839524440375632159727144581305636449754138
19,231,505987,77255481843175373630426173865086967601789187813555363221016748303340881899646
19,231,483917,35785843287396647794563264759457223198082402195607568369320122006231783116521
19,231,366188,99051595926143952567498880498302614102288030640291217946998068607203983241442
19,231,287328,88787490672923935683907497241926463808546416844258675140024456794328180890970
19,231,522660,49493631252366241223578572673319511786967859629011076577675758385306546388025
19,231,508911,105023650107396499123099878496139097594455832419546761285043314133716124171725
19,231,509964,24620829831699858582103933608865792160112701027107493471337357888982451769142
19,231,295578,82034437270590889420524652007072550454834293119814946748999027711627727202945
19,231,434085,34329092013146687819903602203504069466176195789218103492497781096920285518754
19,231,414187,56411534782934581735320763570170412837673784622535398400246147513667610794679
19,231,357787,33294132880412773975578673366020535242190042526950630015307679425372470180183
19,231,265299,16428785169177399357484850343564592288995953045480143360287112452148911649553
19,231,410757,98999611974038427098767970584980740585613651790423399147397682247408635098266
19,231,304434,30738365627730867400116459810800462002181655231621845127942276203068232219540
19,231,270937,93944981942521323072221486316439025525100286482883512165947351376101240530385
19,231,481004,19748918559968083317026493675877642673318013184451854320472317345901249188445
19,231,387840,42978493410105044143058500437895108534085602995962430313052517495533986614763
19,231,307235,40788874179580090776354860345110428402410277526580387602123819727208106463721
19,231,289426,100480704166201939482544035096991184629130149702124585603784475178717337161030
19,231,428712,24735399782241481574196987199157699744133116988849360675881741099039792848277
19,231,428099,104270870413896277272200934985811674359348391658131845038360112140648806740465
19,231,282665,97478201233634956400441680280747584090608318294619561143276984592411101051363
19,231,497878,30132837588328872579437051935045097761313458954449315488645939935166609469031
19,231,501396,1405915001933661694078167787310635012249562625641083636586896926272880024906
19,231,515088,82798013430260765189708481394237084080092498283428377686578746642079505868015
19,231,362722,29717460555504453412775463747979043788489371349363914597599364212031031951106
19,231,472613,78654120923495330897196144147653697572696252615113471326194525139585694860625
19,231,417073,21869742682493130349515193038942151841774406242823202524939155642666993068055
19,231,478649,95181060093065751859903809798458450284999294656983674033483639641107411076425
19,231,479630,31257975988471050100489997465648244517190869025697118292008802735934001258503
19,231,296276,75500301559863990691451263618989540114997308304979103723843150076807551695176
19,231,477725,99146179720527820586212779235909208263987941842228809973462582310623447506535
19,231,392556,52986469559140183794561048592408641776313260415216337896700855447473435271209
19,231,334826,109428407983321021393223401529553385967324634009660177915210797529823181893783
19,231,500948,32789776187225445650417690203209284874971702581373496642627863007465539328725
19,231,335750,114314723110638050962630646845905851407652978045053831100684531798995581091545
19,231,479087,39195922168378217826169436210870643248625515498139294411800048373809056520937
19,231,509193,103996131365832366722099615786865275035234347778919699759004057456315043489937
19,231,468040,77569366493964808843561614422495343253581689933468108072899189146451094689807
19,231,482158,43156709457115051197149054012720631121679523809008210789183095738973455596599
19,231,329028,108579394986446459348392160975682836745624767679539761629173968641028417889129
19,231,380733,52258662951809557320909242008990416884955130348053157457909477056830974781048
19,231,341907,51439920280938421316118660440643921494379948739934683449727416313172308720877
19,231,292320,11489349397689940069750513126656722812090747736158507499239064981322185185717
19,231,326112,87960689759561648153302364559580147600763478586604237829198452139667040145964
19,231,281255,20376675234685225426680804987363649773126533199786398348828979483139015819336
19,231,333915,114699535205336254821966049558361824195924183663620130151274609274433798533558
19,231,339054,43203290791154066709245764575836843744339295437704724108398733883272118638537
19,231,440282,91553376437774204337606513274108600365437185749567398833159265758221168989205
19,231,429069,98799514990431325242048378544198303829961768865230800328613663564145974595532
19,231,262855,91676610317556656427629354723438851325478470337225425667740416981281941420746
19,231,272726,39818631229192727953937637975949617620872230331383858754096223795894822409873
