bit_length,total_bits,random_multiplier,rhs_projection_ell
97,232,135550775032106514121471721499,59059524692517308422322857043806396831739013098639769873621636838571169155239
93,228,8843060430434941800204399844,27964365848720784821008385043752083491803845325786675870768700680642198861071
94,229,19119241667581225771530030756,27934200581096422060519102073516779801375555184335481598113163977280689652106
95,230,33111681061866642402084253764,55834350663158688642846716560095656514882610454167542453390609961987060112027
96,231,49581760264307235861064529056,27941077367763969208119184361070408018769177555885127239619047667684056090038
97,232,101059277642947112044619604517,90914533156025755142148131416354735728705923135249915765601618523476456672079
93,228,6185163651171854759596201862,210900264815214352161458138138430468168230008570682129350032674119173815237
94,229,17747229008588406598150104193,9585629145285083983489159151504281169167527378795705524993423433711693829485
95,230,21680800864402506664718739094,88910429219288313804675689779820508475849433117939510817595723693392820086206
96,231,56486148423280683756075506101,99326248174803205749293428821290470634896263256118313745261837354570987775856
97,232,116837684280737992339578929221,96222249832575108047507160915563029658790978537905406030886227023565470248272
93,228,5415806770394077617584298660,25021680392357748220712910043409838245196025520589580935502784611730316235589
94,229,17651140987305509199526466709,33576441674169196345629300337137097561327390748682721142753798613909324497672
95,230,21743109245122268082742319988,42617012499329441211387479356466774613296791734075165285098476177631489120159
96,231,58922259072139159040998439728,108611671951211026036021475598374548391034498000167468623585732792935584585697
97,232,122684121952702235257082484435,92524532484963105367020869342449940360203729321992209112519475900388035336566
93,228,8173015322441245947473301595,2991402709614925326221735612396580879615643993471947445939323721778272432612
94,229,16796949225427790738910150497,12861146449306405849293427840066226401547388632353256468111175161125972267245
95,230,39349379585662320437925074616,5853684942686660133363621042160726304650261899320928008128774554384202281303
96,231,58076719884582545633646221183,63610275220541209998515217157922111922488077637263607341964232216201570636156
97,232,101587395463007372714744131941,31048013995482809781271124129999854074326426960914807898733714863433923125480
93,228,5750806568927738772882575522,12958461365289431924274920382111507554205978168508790396035730281200291263031
94,229,17456738390218884051075145355,28748246703004471346765563813514055316318634719913024225006749193593947818803
95,230,29537855874915365412418225596,73167297768791833725727111611833526859456834949323869030008058089702678853176
96,231,57144589918623838910030642307,59412882209183517172248477001449507552348521122362432963454121984519148681600
97,232,109520191306652127503927759168,112438273455058072019788815380337862674094871998095966936644726424766569150730
93,228,5138539951719644169336218664,89062449004738221527843648466702032326720800276157500704135905111118815831949
94,229,11829414320847774383028748106,107684845515714540087429998861853399786183133403630598202238154522469868751349
95,230,25356284919801532110887820473,74981820820591050898013178614206001857956477622842188429452943574956466632479
96,231,40752391938210906282573375149,48850845758814279594885471876799854602562998609370350477712788809250302605655
97,232,154414755246762461946212781787,25716058020248412381053260900289437143170328602133053907880605351444564704639
93,228,5174400769180434450376455285,40254647294676056993355478551852265035334361545800794163192087160011542036026
94,229,16549295828856775692725069610,30605427540877908632567063928769049145779583549361315116006041201056184039382
95,230,26525949202858057812128905231,48536742540723269964358490900685881877580638210625314657723803361212573788490
96,231,42854124112032414159926051062,92539502044458252878954296321768626616114537630653732363088158193133586891861
97,232,99763306207334810654861720426,19802722714333066865463747074470540599164682599898788982043088132771102450100
93,228,7719486001838142628343027447,74234690967878601873121729104205082153618917813317278195890394220728057470775
94,229,18477325887591469819504569434,19614110976985875824939711560726116200717889051277994089340519026327432536258
95,230,27505492060885330476746595260,80238078886322887782246273546438652638897329274209557879991934352224437639580
96,231,66012091713393934849156678720,73115281889573006369725856886594337444239939817730252992716317133354376095495
97,232,107603832684874030638935049862,40681126620605575828801673641164037920559104301360620246708940294911653521327
