bit_length,total_bits,random_multiplier,lhs1_projection_ell,rhs_projection_ell
97,232,138656175263507545832124985980,65781916230456666540147562385660330970227031299676247989565918866447614580162,21015198313368423606325636504852234293764036985522317504728069827627022607030
93,228,6161025031615420216908180237,19775872650494040346328859335531302779699161818240561776792788598430551686136,7593246845865152832069962629189648160660649401285346744955334265147193942026
94,229,16645778174014412299214207370,57928388342992412159187769864880735093843785478217589025534528992992671209132,107271344361363894439824767507169942133762660037481673338147162609137829144856
95,230,20706846054967203955181388194,52419814477261415791396324687257235456007934617087849368997244744792812635570,51295359818967388062427401436075574338459292408754896862225576102495526755177
96,231,77098208053376927481557876521,46474447994740424663279169527594224745636872931895186350280297364108442057085,14956996476796782218962392628707280499808878046856068704266360243380830072345
97,232,87977017335955299912161125168,96460339820408041932101241254029128116522766621911825873982445865641054119235,22485327265303777093600792901039388894639831847240270514969966008811416425527
93,228,5058872543837217178217708585,71651765052567619312002671600266918864863524534492930304218052077703309404221,83141290698238626063739463488102817217290351128526973426616742836168825247103
94,229,14830390667759885096508351426,108970862397073320149966164134550183417578440104514245802718858891954456298292,88772187343318120464454581965254383825161175266998043581352340973057876121756
95,230,25246148168949564985450484409,102930134632642503703746702993390394626064136464481821678867531333989033593239,93632305826283600974401173550430639657497391237490000734318262711617419930438
96,231,60029402065551023273186616204,10434004972860820570029229755553333298574129481969676399183218660149696100444,73307102210802742563379726332682558818372997813328101334144938633199530588903
97,232,129398804681933082196101196190,98657312426962776326390070283067200667630700707579483378190518929811917901138,19180637246804322384801975998191906531024957720186129818811915625141136494451
93,228,9335065451417926758327628699,4890756032829043555922795175006836105950861428572746878289813017394272779845,75681588128378132685549142691171619900879394865392692412986541436550592129966
94,229,10655914456578175344761049298,114741650336736984354491720360151457137072714239701367268045550192231525887772,41955758441420281053040184055551830718778553778432842595584605569711724473502
95,230,22544462301130691391493647271,70550042784359104799538341444997439277886286837764568398120581092291973740385,9522564825119161185731665247884417319939057938483646083948955362612988828735
96,231,71706306468350860084008582421,39143476384057049216738163041444013859172145564560243277754072883865815738840,2807448571945364364721558722754572725167220940546352302055889759965974833562
97,232,123591263299044530669772355789,52428070988674259644177514606153996131716489560500611878337991818623888470187,1708463229438244613916799820163471676351235971744734130693621920421142444584
93,228,7712509141080345753449754790,107152937528375349155832719321352829755768973699738425446916102192128916159223,82461395570662586093292105343147068416916690117657392166524102212456509279778
94,229,10932099822723295636158879656,7281283872423057621984408638178053891965323655983301602647136324211623833066,58355562557289912080375922144736590707351803360253171769103448054836887106085
95,230,28793663655183709892543193162,13403013561011543776250908947779973042394911662340681214048153874802306823835,49111811486392068544053649550871162199644257459885706198846875188582310390797
96,231,48160970548172185512699126161,4733685196151189937885426651740984713966549311316076630977386035553325110331,55052113151089220199897158757655516366434426246787956819157733372806010390500
97,232,152240585284081640101334340536,72610683623727618225383081050779164766309166277470049198182477137075760867242,104011662139154784981792581187482677080652369258784564803035043022351948880684
93,228,7200789372832980906443272674,81023630875736985704295661930394739228314015285363408337269581543864191090922,70992069389120696754980440614464541801037140000789632763913815745812676205226
94,229,14576745864628601862435494069,88012432290495326006623153674203741667137581801603598152996003753633988906995,39612047117342633744358160369073784842162828152799377326651917063090086009471
95,230,30794903991000393588151640509,40395057164937024402482299113443764365411488489873619164594364020441549567752,68966366285218483518419399102231944763182055835114822230042994420766731953373
96,231,61368657433159805844279799454,10571061737602967723360016641869122956257284310674513519323762404082299246857,46143794259357341261804714065744508930010517802896072487400613915433200009179
97,232,122182605925584519478327737130,36604189941757653252904306038701531012839492131202221647608817676521400444585,44095543331883437165509295215749180659392018441371767672254867880946718765013
93,228,5238277536414019079930439690,15007157428498103620922495556419755523046473716066840621531112416254026480212,45812765328829855147053101500793620304040652535428224216110880639106080335522
94,229,11332720938763571244695636027,76243910432160099949275637700976360888782607861835935101768813989122077645955,42363051507201558980667519637137005852457070545311748399143112169926199352516
95,230,32384787165361095019741332032,99256183361559280561764631678462624418094549045737342738955658239136130850517,107905827004031555658511987131673698710232881555519382289360419548421401657526
96,231,66830904867415318568468449150,4646148918748457650870351206172689420398013902809016830878986902878192682898,110560407749410289578919810964740373252340585164698791743727863277076981122178
97,232,114243838699995717265257478473,30811650004782810568804319450988100394613620217849136567972868948513267242639,68083038414225354934636222524941308931210432949868143842292921654222414547353
93,228,8901749662561432925504292527,99100678778588408210020215869566609017509204557922926800926318971372050178441,99663537131811012488220754092235191475470170984067544061788050105137478488743
94,229,16266369278076894128189519626,77438305747559492226909251014203646534959400250172559896920222806894607326433,29514092894383586968244813735935568039951290165102071481306439493570378259490
95,230,34476435090414001806486685891,41497536271411826592577935264908786176493249165851436821374288630464449284779,93802034379742869981269997533722888444135852724078919941568046683637094760278
96,231,63363087084582107449077799483,103741185629559322375758432730844274266635167828307223734385347676467662882955,92835629121746486059474269706474757331847116274638572681915550064701896225506
97,232,142251063237890362007931366555,104351779143592914297623496656676156474153477685861453705641387951178490315340,83377342490606431975465203655495576836883064038218039054534600406425599467708
93,228,7384126840996037674214345220,46195915156999797005708893023724862229264328755817782822078590502473949969903,107681551416670590363045812520305462176386209471503937758501415159362495647948
94,229,19586814230909418509368789303,39819173523727226551708684200124122695549728205759366224355768939439060640670,91558666703704514637346767339118020651218083198142247705880632383791108615100
95,230,37517912694930698938798369582,43928626748569360911850774879427403854444395011738317321787486943385724443803,77289347237837216857396842163676292188077383894413098127467096568241465287276
96,231,57985404148605762633335883468,17485873917224803707087106568603769073372356279069925102119595219207994741155,28489978082988754997934249721343126773632069100583137167930915169768174092651
97,232,104579826362499620762635981383,36701947950412896943698622183434912625218363847700675094928005454175476788400,3806874735595787759683540094397652369270760806697364227383068945036798228794
93,228,6637812267144430191644294550,61765682177901484086755799776952876895464609013757018241889899401257116778617,4315361620172468055897468985149231882016812161758728490943998962159164638596
94,229,14244729665453916000241660204,101588766940452128825238594229394514416488449225449817470317881993130661621061,27320336759366766887586051875452926105839500041242438425717147446077338296119
95,230,21922139894673670570696551043,78325724954222307823569454701629339061311799791411763540172441212792462291720,69265165712390290139848171170583731511403325069859839641018020601666177586944
96,231,46161811203645406222925282777,114682645249760373944169660942154357111093979177408024746120615252460032434858,10954331611945856078777227794399506067526637514504921146091047268015356502080
97,232,147716148182687324455161786911,55053910093897268746471441565245111785923847028948300888658190165746632423107,11618168299343960974828520823484100722100658237530822274214976129495993560104
93,228,7612615611975333517608756569,65232358476769258829727576367650071533045515050966789705671219120206769556062,102850521744947534934920265402623852577685275312521246360809731321935897351007
94,229,19014512846937946490752892360,72752944255850922287389705990434951361175994265883645724940787820082042013415,55589030688383375479656871885591648460105258933220517757705787063108616815183
95,230,33951905731101714639002066431,90752085798873233945480698442679727282338428203106116364796529958455345310759,24920914631556195576774740211523703632554389050980602368257171412221092038097
96,231,71653378270127600783812803594,24225516360035915129764927389884825101005140195297825050002743967322910694469,58159393001335108596909944697346614351118069834452329587382220684690880745635
97,232,143217087742785013953509134980,42831327862564330131166067520328658694299666790558023436299554175804160244539,114322895636945515217537793211960481008854325803225409985387512239413350236237
93,228,5250652826005027529452127435,111709054054354453431814020389763663725079205100353732593097944274643421854808,93730983173220978697791787115907726455181646000619158965408999592155367231181
94,229,11774963240198724551669446769,23635287255670219282808825475019077601155047802441957061327418338586625741379,5726504024547851083646903284303242920357672703058986537638225874259102096503
95,230,23151147007081602311607957876,86123009880346576263023420554475885852905485455232096918243225695937153739563,62535495315389369190444678332942302787055945296094930341792200633522341706854
96,231,75248363823798706067102829964,68392920141309547932472403037482192536449974058997075096477263120710187878225,3417793030167149489386269038165189569080045734614845669703695397759083651149
97,232,137547245943757939756147083231,38883033247652165072869057057219842558670550604818240399227126657103147415019,100173331739617561113838610810418779239142265957787500157832898451344749745570
93,228,9840764586693052465957608843,112584410725180315246876508861478748658148688157392110975879589529379556134912,104620774255061566514951231308409468433442008203162431318377286018055737120033
94,229,12374873210188390669164844878,74278279113294541403009128288266046373805115989434577087546892888369418572947,67081330169431080512278201972295864409599599460203018814593930888509883456846
95,230,32235737722555168799325820692,23291932385769138849079803044654240270393234564745489235648016775577394709858,17926907169157738019305941789344880608719482594507147233952371685894394130755
96,231,64145586043402492488533745154,57172132707634328794384491995652091650958714722896144821530806371967750982909,102988898473732493807606087339816637979851530312384253127040356048144492627942
97,232,149993017177757055983657921684,78313049835453758105971268903652850057123125292107090250994533147946751499181,30105307213944552115648729103723785879230302748330966389304172354995503278799
93,228,9419000336496077070963808761,4047863857841882486790961291489052165058390605221601344247484903989404190513,77195062047747782698227637856639545099426377787791166649667494842925361571950
94,229,19471582067997112320147508252,106168619339383653920205095673417803462635321677156357923615873894070650282840,44696569421872553484641856431014873774964804766628111081008676434893164473046
